#+TITLE: CENTRAAL EXAMEN: VWO 2016:2024
#+STARTUP: hidestars
#+OPTIONS: ^:nil
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
#+HTML_HEAD: <style>
#+HTML_HEAD: body {
#+HTML_HEAD:   max-width: 1200px; /* Change to your desired width */
#+HTML_HEAD:   margin: 0 auto;    /* Center the content */
#+HTML_HEAD: }
#+HTML_HEAD: </style>


* NAV161VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                                      | Wat moet je doen of berekenen?                                                                                  | Benodigde kennis/vaardigheden                                                  |
| 13           | Eendimensionale energieput, molecuul Rhodamine 6G                       | Leid de formule voor \( L \) af en bereken de waarde van \( L \) uit de structuur van Rhodamine 6G.      | Energieniveaus in een energieput en molecuulstructuur.                                |
| 14           | Rhodamine 6G, molecuulstructuur                                         | Controleer of de berekende lengte \( L \) overeenkomt met de gegeven waarde.                            | Relatie tussen moleculaire dimensies en energieput.                                   |
| 15           | Vermogen, lichaamsmassa                                                | Leg uit of \( P \) recht evenredig of omgekeerd evenredig is met \( m \).                               | Basisbegrippen over vermogen en massa.                                                |
| 16           | Loopsnelheid, vermogen                                                 | Verklaar de formule \( P = pv^2 + q \) aan de hand van aannames.                                        | Relatie tussen vermogen, snelheid en krachten.                                        |
| 17           | Chemische energie, loopsnelheid                                        | Bereken de benodigde chemische energie voor een proefpersoon tijdens het lopen.                         | Gebruik van \( P = \frac{\text{energie}}{\text{tijd}} \) en grafiekanalyse.            |
| 18           | Stapgrootte, energieverbruik                                           | Bepaal de optimale stapgrootte met minimale energieverbruik \( R \).                                    | Analyseren van figuren en berekeningen met \( R = \frac{P}{v} \).                     |
| 19           | Wijnfraude, radioactieve isotopen (C-14, O-15, H-3)                    | Verklaar waarom alleen H-3 geschikt is voor datering van wijn.                                          | Halveringstijd en stabiliteit van isotopen.                                           |
| 20           | H-3-straling, dracht, glas                                             | Toon aan waarom H-3-straling niet door een wijnfles gaat.                                               | Gebruik van drachtgrafieken en energieafname in materialen.                           |
| 21           | Cs-137, radioactief verval                                              | Geef de vervalvergelijking en bereken de golflengte van het -foton.                                      | Vervalvergelijkingen en fotonenergie berekeningen (\( \lambda = \frac{hc}{E} \)).     |
| 22           | Cs-137, radioactieve activiteit                                        | Bereken de verwachte activiteit van Cs-137 in een fles wijn uit 1960 in 2018.                           | Activiteit, halveringstijd en exponentiÃ«le vervalformules.                            |
| 23           | Cs-137, onzekerheden in jaartallen                                     | Leg uit waarom 50 mBq L\( ^{-1} \) niet exact het productiejaar bepaalt.                                | Statistische variatie en onzekerheden in metingen.                                     |

* NAV191VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                         | Acties/Berekeningen                                                                                   | Benodigde Kennis/Vaardigheden                                                              |
|------------------|-----------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------|
| 1            | Dafne Schippers, Ireen Wüst, gemiddelde snelheid          | Bereken het verschil in gemiddelde snelheid over 100 m.                                                    | Formule \(v_{\text{gem}} = \frac{s}{t}\).                                                     |
| 2            | Snelheidsdiagram, versnelling, afstand                    | Bepaal de versnelling van Schippers bij de start en identificeer maximale afstand en tijdstip.             | Gebruik van \(a = \frac{\Delta v}{\Delta t}\) en analyse van grafieken.                       |
| 3            | Resulterend vermogen, netto vermogen                      | Verklaar waarom \(P_{\text{res}} = 0\) bij \(t = 6{,}0\) s en wat dit zegt over wrijving.                   | Begrip van vermogen en wrijvingskrachten.                                                    |
| 4            | Arbeid, snelheid, vermogen                                | Analyseer de grootste resulterende arbeid met behulp van grafieken en energie.                             | Relatie tussen arbeid en kinetische energie.                                                  |
| 7            | Positronverval, F-18                                      | Geef de vervalvergelijking van F-18.                                                                       | Begrip van bètaverval.                                                                        |
| 8            | Positron, elektronen                                     | Leg uit waarom het geladen deeltje een positron is.                                                        | Basiskennis van positronen en elektronen.                                                    |
| 9            | Cerenkov-straling, elektrisch veld                       | Leg uit hoe netto elektrisch veld ontstaat en hoe het zich verplaatst.                                     | Begrip van elektrisch veld en Cerenkov-straling.                                              |
| 10           | Kinetische energie, Cerenkov-straling                    | Analyseer percentage positronen dat Cerenkov-straling produceert.                                          | Gebruik van grafieken en percentages berekenen.                                               |
| 11           | Lichtmeting, Cerenkov-straling                           | Verklaar waarom een donkere omgeving en ondiepe tumoren nodig zijn.                                        | Begrip van lichtdetectie en signaalsterkte.                                                   |
| 12           | Cerenkov-straling, positronafstand                       | Leg uit waarom \(d_{\text{CLI}} < d_{\text{PET}}\) en schat \(d_{\text{PET}}\).                            | Analyseren van figuren en processen.                                                          |
| 13           | PET- en CLI-technieken                                  | Verklaar waarom CLI nauwkeuriger is dan PET voor plaatsbepaling.                                           | Vergelijking van positrontrajecten.                                                           |
| 14           | Zon, planck-kromme, kwadratenwet                        | Verklaar verschil in intensiteit met behulp van de kwadratenwet.                                           | Gebruik van intensiteit en afstandsrelaties.                                                  |
| 15           | UV-straling, schadelijkheid                              | Leg uit waarom UV-C en UV-A nauwelijks bijdragen aan het biologisch effectieve spectrum.                   | Begrip van UV-absorptie en spectra.                                                           |
| 16           | UV-straling, blootstellingstijd                          | Bereken de veilige blootstellingstijd aan UV-straling.                                                     | Gebruik van gegevens uit grafieken en integratie van intensiteit.                             |
| 17           | Zonnebrandcrème, energieniveaus                         | Verklaar waarom een stof met een band-gap beter geschikt is voor zonnebrandcrème.                          | Begrip van energieniveaus en fotonabsorptie.                                                  |
| 18           | Zonnebrandcrème, band-gap                               | Analyseer welke stof geschikt is voor zonnebrandcrème.                                                     | Energie-berekening met \(E = hf\).                                                            |
| 19           | Geurmodellen, sleutel-slot-model                        | Verklaar waarom het sleutel-slot-model tekortschiet voor bepaalde moleculen.                               | Begrip van moleculaire interacties.                                                           |
| 20           | Turin-model, energieniveaus                             | Leg uit welk energieniveau van A wordt bereikt door een elektron in het model van Turin.                   | Kwantummechanica en energieoverdracht.                                                        |
| 21           | Massa-veer-model, frequentie                            | Bereken de frequentie van een massa-veer-systeem in het Turin-model.                                       | Gebruik van \(E_n = hf (n+1/2)\).                                                             |
| 22           | Waterstof en deuterium, geurmodellen                    | Verklaar hoe de waarneming van fruitvliegjes het Turin-model ondersteunt.                                  | Begrip van massa-veer-systemen en frequentieverschillen.                                       |
| 23           | Energieputten, waterstof vs. deuterium                  | Bereken frequentieverhouding en bepaal de juiste energieput.                                               | Analyse van frequenties en massa-effecten.                                                    |
| 24           | Parfumvervanging, energieniveaus                        | Verklaar welke eisen aan energieniveaus gelden voor vervangende moleculen.                                 | Kwantummechanica en moleculaire eigenschappen.                                                |
| 25           | Aardlekschakelaar, stroomsterkte, weerstand             | Bereken de stroomsterkte door het verwarmingselement en de lichaamsweerstand bij een lekstroom.            | Gebruik van elektrische wetmatigheden (\(V = IR\)).                                           |
| 26           | Aardlekschakelaar, gevoeligheid                        | Verklaar wanneer de aardlekschakelaar reageert bij grotere of kleinere lichaamsweerstand.                  | Begrip van stroomverschillen en veiligheid.                                                   |
| 27           | Magnetisch veld, lekstroom                             | Teken richting van het magnetisch veld en verklaar hoe lekstroom een magnetisch veld veroorzaakt.           | Magnetisme en wet van Ampère.                                                                 |
| 28           | Detectiespoel, aardlekschakelaar                       | Verklaar hoe spanningspieken ontstaan en hoe de detectiespoel gevoeliger gemaakt kan worden.                | Begrip van inductie en spoeleigenschappen.                                                    |

* NAV192VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                          | Acties/Berekeningen                                                                                  | Benodigde Kennis/Vaardigheden                                                                 |
|------------------|------------------------------------------------------------|----------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------|
| 1            | Pariser Kanone, snelheid, looplengte                        | Bereken de lengte van de loop met behulp van het \(v,t\)-diagram.                                         | Begrip van grafieken en formule \(s = \int v dt\).                                               |
| 2            | Pariser Kanone, massa van granaat                          | Bereken de massa van de granaat en controleer of het binnen 10% van de opgegeven waarde ligt.             | Newton's tweede wet, analyse van \(F,t\)-diagram.                                                |
| 3            | Pariser Kanone, energie, rendement                         | Bereken het rendement van het afschieten van het kanon.                                                  | Energieberekening en kennis van arbeid.                                                         |
| 4            | Granaatmodel, stopconditie, luchtwrijving                  | Beschrijf de stopconditie, vul de formule voor \(F_y\) in en bereken de waarde van \(A\).                 | Modelformules interpreteren en basis luchtweerstandsanalyse.                                    |
| 5            | Granaatmodel, \(y,t\)- en \(y,x\)-diagrammen               | Identificeer welk diagram (4a of 4b) het \(y,t\)-diagram is.                                              | Begrip van bewegingsgrafieken en tijd- en afstandsrelaties.                                      |
| 6            | Granaatmodel, minimale snelheid, impact                    | Verklaar waarom de minimale snelheid niet 0 is en waarom de snelheid aan het eind afneemt.                | Begrip van luchtweerstand en gravitationele invloed.                                             |
| 7            | Granaatmodel, afstandsberekening                          | Leg uit waarom Fabians methode om de afstand te bepalen fout is en of de berekende afstand te groot/klein is. | Integratie van snelheid over tijd en foutenanalyse.                                              |
| 8            | Magnetische polen, elektrische gitaar                     | Geef aan of op specifieke punten noord- of zuidpolen zijn.                                                | Basis magnetisme en polarisatie van magnetische velden.                                          |
| 9            | Elektrische gitaar, volumeregeling                        | Verklaar hoe de volumeknop de spanning regelt (linksom of rechtsom).                                      | Basis schakeling en spanningsdeling.                                                            |
| 10           | Snaartheorie, frequentie, spankracht                      | Toon aan dat de frequentie van de grondtoon van de snaar 85 Hz is.                                        | Golftheorie, spanning, en trillingen van een snaar.                                              |
| 11           | Snaartrilling, spanning                                  | Toon aan dat de frequentie van de spanning in figuur 5 overeenkomt met de grondtoon.                      | Begrip van harmonische trillingen en frequentieberekeningen.                                     |
| 12           | Snaartrilling, evenwichtsstand                           | Verklaar waarom de maximale spanning optreedt bij de evenwichtsstand.                                     | Wet van Faraday en relatie tussen beweging en inductie.                                          |
| 13           | Snaartrilling, dubbele frequentie                        | Leg uit waarom de spanning in de \(y\)-richting een dubbele frequentie heeft.                             | Analyse van interferentie en resonantie in verschillende richtingen.                             |
| 14           | Boventonen, elementpositie                               | Bepaal welke boventoon element 1 niet detecteert en leg dit uit.                                          | Begrip van harmonischen en locatie-afhankelijke detectie.                                        |
| 15           | Debroglie-golflengte                                     | Leid de formule voor de debroglie-golflengte af.                                                         | Formule-afleiding en kwantummechanica.                                                           |
| 16           | Debroglie-golflengte, spanningsberekening                | Bereken de golflengte van elektronen bij een versnelspanning van 5 kV.                                    | Gebruik van \( \lambda = \frac{h}{\sqrt{2meU}} \).                                               |
| 17           | Interferentie, Braggreflectie                            | Toon het weglengteverschil aan en leid de Braggvergelijking af.                                           | Begrip van constructieve interferentie en reflectie.                                             |
| 18           | Diffractie, afstand tussen roosterlijnen                 | Verklaar of de buitenste ring hoort bij \(d_1\) of \(d_2\).                                               | Analyse van diffractiepatronen.                                                                  |
| 19           | Elektronendiffractie, versnelspanning                    | Leg uit waarom er bij lage spanningen geen ringen verschijnen.                                            | Begrip van golflengte en energie van elektronen.                                                 |
| 20           | Afstand \(d\), diffractiemetingen                        | Bepaal de waarde van \(d\) voor de buitenste ring met behulp van de grafiek.                              | Analyse van \( r = \frac{2R \lambda}{d} \).                                                      |
| 21           | Cobalt-60, vervalvergelijking                           | Geef de vervalvergelijking van cobalt-60.                                                                | Kernfysica en vervalprocessen.                                                                   |
| 22           | Gamma-straling, golflengteberekening                    | Bereken de golflengte van \(\gamma_2\).                                                                   | Energie-golflengterelatie \(E = \frac{hc}{\lambda}\).                                            |
| 23           | Cobalt-60, massa berekening                             | Bereken de massa van cobalt-60 in een bron met een gegeven activiteit.                                    | Gebruik van \( A = \lambda N \) en halveringstijdformules.                                       |
| 24           | Gamma-chirurgie, stralingsdosis                         | Bereken de benodigde bestralingstijd om een tumor volledig te vernietigen.                                | Stralingsdosisberekeningen en gebruik van \( D = \frac{E}{m} \).                                 |
| 25           | Straling, tijdsafhankelijkheid                          | Leg uit waarom de bestralingstijd in de loop van de jaren langer of korter wordt.                         | Begrip van radioactief verval en activiteit.                                                     |

* NAV211VB.TXT

| Vraagnummer | Betrokken Concepten/Voorwerpen                     | Acties/Berekeningen                                                                                   | Benodigde Kennis/Vaardigheden                                                                 |
|------------------|-------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------|
| 1            | Kosmische achtergrondstraling, aardatmosfeer          | Verklaar waarom opnamen niet vanaf de aarde gemaakt kunnen worden.                                         | Begrip van atmosferische absorptie van microgolfstraling.                                         |
| 2            | Gravitatiekracht, modellen                           | Bepaal bij welke \(x\) \(a_g, \text{aarde}\) maximaal is en wat die maximale waarde is.                    | Analyse van gravitatiekrachtgrafieken en modellen.                                               |
| 3            | Gravitatiekracht, grafiekanalyse                     | Kies de juiste grafiek (I-IV) die de volledige situatie beschrijft.                                        | Begrip van resulterende krachten en gravitatie in combinatie met grafiekanalyse.                 |
| 4            | Cirkelbeweging, gravitatiekracht                     | Leid formule \(T = 2\pi \sqrt{\frac{r}{a}}\) af met tabellenboekformules.                                  | Afleiding van bewegingsformules en centripetale kracht.                                          |
| 5            | Omlooptijd, gravitatiekracht                         | Leg uit waarom de omlooptijd \(T\) van de satelliet gelijk is aan die van de aarde.                        | Analyse van formule \(T = 2\pi \sqrt{\frac{r}{a_{g,\text{res}}}}\).                              |
| 6            | Lagrangepunten, afstandsbepaling                     | Bepaal de afstand van \(L_2\) tot het midden van de aarde met behulp van grafiek.                          | Grafiekanalyse en gegevensinterpretatie.                                                         |
| 7            | Stralingskromme, temperatuur                        | Bereken de temperatuur van de kosmische achtergrondstraling met figuur 7.                                  | Toepassing van de stralingswet van Planck of Stefan-Boltzmann.                                   |
| 8            | Staande golven, golfsnelheid                         | Verklaar waarom de golfsnelheid in de lus niet overal gelijk is en bereken de gemiddelde golfsnelheid.      | Begrip van staande golven en interferentie.                                                      |
| 9            | Staande golven, frequentie                          | Leg uit waarom alleen een buik kan ontstaan in het bovenste punt van de lus.                              | Begrip van interferentie en voorwaarden voor staande golven.                                     |
| 10           | Frequentie vs. aantal buiken                        | Toon aan dat er geen recht evenredig verband is tussen frequentie en aantal buiken.                        | Begrip van wiskundige relaties en dataverwerking.                                                |
| 11           | Frequentieformule, constante \(c\)                   | Bepaal de constante \(c\) in formule \(f = c \cdot n^2\) en geef juiste eenheden.                          | Analyse van grafieken en afleiden van constante uit gegevens.                                    |
| 12           | Significantiecijfers, meetnauwkeurigheid             | Verklaar waarom \(c\) in drie significante cijfers kan worden opgegeven.                                   | Analyse van meetnauwkeurigheid en significantie van meetresultaten.                              |
| 13           | LET-waarde, eenheidsanalyse                         | Leid af dat LET-waarde ook in newton (N) kan worden uitgedrukt.                                            | Eenheidsanalyse en omrekenen van formules.                                                       |
| 14           | Alfastralers, LET-waarde                            | Leg uit waarom LET-waarde hoger wordt naarmate de snelheid van alfadeeltjes lager wordt.                   | Begrip van energieoverdracht en afremmingsproces van deeltjes.                                   |
| 15           | Alfastralers, kinetische energie                    | Toon aan dat alfadeeltjes van type I lagere kinetische energie hebben dan type II.                         | Analyse van LET-grafieken en interpretatie van fysische processen.                               |
| 16           | Dochterkern, losraken van dragerstof                | Leg uit welk nadeel ontstaat als dochterkernen losraken van de dragerstof.                                 | Begrip van impuls en terugslag bij kernverval.                                                   |
| 17           | Impuls, kinetische energie                          | Leid formule \(p = \sqrt{2E_k m}\) af en toon het verschil in impuls tussen alfa- en bètadeeltjes aan.     | Toepassing van energie- en impulsrelaties.                                                       |
| 18           | Activiteit, massa berekening                        | Bereken de massa van Actinium-225 in een polymeersoom bij een activiteit van 0,10 kBq.                     | Begrip van radioactiviteit, halveringstijd en massa-activiteitrelatie.                           |
| 19           | Dosisequivalent, alfaverval                        | Bereken hoe veel groter het dosisequivalent is met polymeersomen en waarom alleen alfaverval telt.          | Begrip van dosimetrie en vervalreeksen.                                                          |
| 20           | Vermogen zonnecel, maximale waarde                  | Toon aan dat het vermogen van de zonnecel maximaal is bij 0,50 V en 2,7 A.                                 | Berekening van vermogen \(P = VI\).                                                              |
| 21           | Schakelingen, spanning, stroom                     | Toon aan dat de spanning over één zonnepaneel 12 V is en bereken de totale stroom in een schakeling.       | Begrip van serieschakeling en stroomverdeling in een schakeling.                                 |
| 22           | Foto-elektrisch effect vs. zonnecellen              | Geef een overeenkomst en een verschil tussen foto-elektrisch effect en werking van zonnecellen.            | Analyse van kwantummechanische processen.                                                        |
| 23           | Bandgap, maximale golflengte                       | Bereken de maximale golflengte van een foton dat silicium geleidend maakt.                                 | Gebruik van \(E = \frac{hc}{\lambda}\).                                                           |
| 24           | Materialen, zonnecellen                            | Kies geschikte materialen voor dunne laagjes op een zonnecel om rendement te verbeteren.                   | Analyse van bandgapgegevens en toepassingscriteria.                                              |

* NAV212VB.TXT

| Vraagnummer | Betrokken concepten/voorwerpen                              | Acties/Berekeningen                                                                                                        | Benodigde kennis/vaardigheden                                                   |
|------------------|---------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|
| 1            | Energiebehoud, zwaartekracht, hoogte                          | Bereken minimale hoogte \( h \) boven punt A met gegeven snelheid in punt A.                                                  | Toepassing van \( E_p = E_k \): \( mgh = \frac{1}{2}mv^2 \).                        |
| 2            | Centripetale kracht, snelheid, cirkelbeweging                 | Bereken minimale snelheid in het hoogste punt van de looping om in de baan te blijven.                                        | Begrip van centripetale kracht: \( F_c = \frac{mv^2}{r} \).                         |
| 3            | Bewegingsanalyse, (x,t)- en (y,t)-diagrammen                 | Markeer in de grafiek wanneer het treintje punt E passeert.                                                                   | Grafieken lezen en beweging interpreteren.                                          |
| 4            | Snelheid, vectorcomponenten                                  | Bepaal de grootte van de snelheid bij punt B met behulp van grafieken.                                                        | Resolutie van snelheidscomponenten \( v_x \) en \( v_y \).                          |
| 5            | Verschillen in snelheid, plaats van wagons                   | Leg uit of de snelheid verschilt voor de voorste en achterste wagon in het hoogste punt van de looping.                       | Begrip van relatieve beweging in een trein.                                         |
| 6            | Wrijvingskracht, arbeid, energieverlies                      | Bereken de gemiddelde wrijvingskracht in traject BCDEB met behulp van energieveranderingen.                                   | Arbeid-energieprincipe: \( W = F \cdot d \).                                        |
| 7            | Lichtabsorptie, nanodeeltjes, kleurverandering               | Leg uit waarom de beker rood of groen kleurt afhankelijk van de belichting.                                                   | Analyse van absorptiepiek (figuur 2) en lichtreflectie.                             |
| 8            | Plasmonmodel, elektrische krachten                           | Leg uit waarom metaalionen op hun plaats blijven, waarom plasmonen naar de evenwichtspositie terugkeren, en richting van licht. | Begrip van ladingsscheiding en oscillaties van plasmonen.                           |
| 9            | Dimensies en eenheden                                        | Onderzoek of \( k \) in formule (1) een eenheid heeft.                                                                        | Dimensieanalyse uitvoeren.                                                          |
| 10           | Aantal elektronen in goud                                    | Toon aan dat \( n = 5,90 \times 10^{28} \, \text{m}^{-3} \) geldt voor goud.                                                  | Gebruik van dichtheid en molaire massa.                                             |
| 11           | Resonantie, absorptiepiek                                    | Bepaal \( k \) met formule (1) en de absorptiepiek in figuur 2.                                                               | Toepassing van resonantiefrequentieformule.                                         |
| 12           | Kernreacties, protonen en isotopen                           | Schrijf de reactievergelijking van telluur-123 naar jood-123.                                                                 | Begrip van kernreacties en isotopen.                                                |
| 13           | Radioactief verval, halveringstijd                           | Bereken het percentage jood-123 dat vervallen is na 24 uur.                                                                   | Gebruik van \( N(t) = N_0 e^{-\lambda t} \).                                        |
| 14           | Fotonenergie, golflengte                                    | Bereken de golflengte van een foton met energie van 160 keV.                                                                  | Gebruik van \( E = \frac{hc}{\lambda} \).                                           |
| 15           | Stralingsverlies, grafiekanalyse                             | Bepaal het verliespercentage van jood-123 uit de grafiek.                                                                     | Analyse van exponentiële vervalprocessen.                                           |
| 16           | Geabsorbeerde stralingsdosis                                 | Bereken de dosis na 50 uur met gegevens uit de grafiek.                                                                       | Begrip van stralingsdosis en tijdsverloop.                                          |
| 17           | Dopaminetransport, hersenscans                              | Leg uit welke figuur (3a of 3b) hoort bij een patiënt met parkinson.                                                          | Analyse van stralingsintensiteit in hersenscans.                                    |
| 18           | Weerstandsdraad, diameter                                    | Bereken de diameter van de weerstandsdraad met gegeven weerstand en lengte.                                                   | Gebruik van \( R = \rho \frac{L}{A} \).                                             |
| 19           | Spanningsdeling                                             | Bepaal de spanning tussen A en C met gegevens van de weerstandsdraad.                                                         | Begrip van spanningsdeling: \( V = IR \).                                           |
| 20           | Hall-effect, ladingsscheiding                               | Geef negatieve en positieve lading aan in een Hall-sensor en teken het elektrische veld.                                       | Toepassing van lorentzkracht en ladingsscheiding.                                   |
| 21           | Hall-spanning, lorentzkracht                                | Leid de formule \( U_{\text{Hall}} = Bbv \) af met gegeven relaties.                                                          | Toepassing van elektrische en magnetische krachten.                                 |
| 22           | Hall-spanning, hoekafhankelijkheid                          | Leg uit welke grafiek (I-IV) de juiste relatie tussen hoek en Hall-spanning weergeeft.                                         | Analyse van geometrie en magneetveld.                                               |
| 23           | Driftsnelheid van elektronen                                | Schat de orde van grootte van de driftsnelheid en kies de juiste waarde.                                                      | Begrip van driftsnelheid en materiaalparameters.                                     |

* NAV213VB.TXT

| Vraagnummer | Betrokken concepten/voorwerpen                              | Acties/Berekeningen                                                                                                        | Benodigde kennis/vaardigheden                                                   |
|------------------|---------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|
| 1                | Energiebehoud, zwaartekracht, snelheid                        | Bereken de snelheid waarmee de kajak de baan verlaat (wrijving verwaarloosd).                                                 | Gebruik van energiebehoud: \( E_p \rightarrow E_k \).                               |
| 2                | Wrijvingskracht, helling, zwaartekracht                       | Bereken de grootte van de schuifwrijvingskracht \( F_w \) op de helling.                                                      | Resolutie van krachten op een helling.                                              |
| 3                | Resultante kracht, vectorconstructie                         | Bepaal met een constructie in de figuur de grootte van de resulterende kracht.                                                | Vectoranalyse en krachtenresolutie.                                                |
| 4                | Wrijvingskracht, normaalkracht                               | Leg uit of \( F_w \) in punt 2 en punt 3 groter, kleiner of gelijk is aan \( F_w \) in punt 1.                                 | Begrip van wrijving als functie van normaalkracht.                                  |
| 5                | Modellen, zwaartekracht, snelheid                            | Formuleer \( F_n \), \( v \), en bepaal of \( g = 9,81 \, \text{m/s}^2 \) correct is in het model.                             | Analyse en toepassing van krachten en beweging in een model.                        |
| 6                | Energieverlies, wrijving                                     | Leg uit of punt \( B \) altijd lager ligt dan punt \( A \), zelfs zonder wrijvingskracht.                                      | Begrip van energieverlies door projectiele beweging.                                 |
| 7                | Arbeid, energie, luchtweerstand                              | Bereken de arbeid van \( F_w \) op het schuine deel. Leg uit hoe blijkt dat luchtweerstand wordt verwaarloosd.                 | Toepassen van arbeid-energieprincipe en analyse van energieverlies.                 |
| 8                | Elektrische schakelingen                                     | Teken de schakeling om een batterij te ontladen en leg uit waarom \( R \) klein moet zijn.                                     | Basis van stroomkringontwerp en energiedissipatie.                                   |
| 9                | Weerstand, geleidbaarheid                                    | Bereken of de weerstand van de verbindingssnoeren verwaarloosbaar is.                                                         | Gebruik van \( R = \rho \frac{L}{A} \) en proportionele analyse.                     |
| 11               | Batterijvermogen                                             | Bereken het vermogen dat de batterij levert bij \( t = 2,0 \, \text{uur} \).                                                  | Gebruik van \( P = U \cdot I \).                                                    |
| 12               | Energie-inhoud batterijen                                    | Leg uit hoe je bepaalt welke batterij (A of B) de meeste energie per euro bevat.                                              | Analyse van energie uit \( P,t \)-diagrammen.                                        |
| 13               | Zonnepanelen, energie                                        | Geef de formule voor zonnestraling en bepaal het elektrisch vermogen van de zonnepanelen.                                      | Toepassen van intensiteit en rendementformules.                                      |
| 15               | Omlooptijd satelliet                                         | Bereken de omlooptijd \( T \) van een GPS-satelliet op een hoogte van \( 2,018 \times 10^7 \, \text{m} \).                     | Gebruik van zwaartekrachtwet en \( T = 2\pi \sqrt{\frac{r^3}{GM}} \).               |
| 16               | Atmosferische absorptie, L-band                              | Toon aan dat de L-band (1-2 GHz) geen absorptieprobleem ondervindt.                                                           | Berekeningen van frequentie en atmosferische transmissie.                            |
| 17               | Signaalvertraging, nauwkeurigheid                            | Bepaal de nauwkeurigheid van de afstandsmeting uit \( t = 8,03644762 \times 10^{-2} \, \text{s} \).                            | Begrip van lichtsnelheid en nauwkeurigheidsordes.                                    |
| 18               | Radioactief verval                                           | Geef de vervalvergelijking van yttrium-90.                                                                                    | Kennis van bètaverval.                                                              |
| 19               | Stralingsgevaar                                              | Leg uit hoe de patiënt gevaar oplevert ondanks volledige absorptie van bètastraling.                                          | Kennis van secundaire straling of contaminatie.                                      |
| 20               | Activiteit, halfwaardetijd                                   | Bereken het percentage overgebleven activiteit van yttrium-90 na 14 dagen.                                                    | Toepassing van \( A = A_0 e^{-\lambda t} \).                                         |
| 21               | Dosisberekening                                              | Bereken de stralingsdosis \( D \) die de lever ontvangt.                                                                      | Begrip van stralingsdosis: \( D = \frac{E}{m} \).                                    |
| 22               | Caroteen, absorptie van fotonen                              | Bereken de golflengte van fotonen bij de overgang van \( n=11 \) naar \( n=12 \).                                              | Energie-fotonrelatie: \( E = \frac{hc}{\lambda} \).                                  |
| 23               | Eendimensionale energieput                                   | Bereken de effectieve lengte \( L \) van de koolstofketen in caroteen.                                                        | Begrip van energieputmodellering en kwantisatie.                                     |
| 24               | Absorptie van licht                                          | Leg uit waarom caroteen ultraviolet licht absorbeert en infrarood niet.                                                       | Analyse van energieniveaus en golflengtes.                                           |

* NAV221VB.TXT

| Vraagnummer | Betrokken voorwerpen/concepten                              | Acties/Berekeningen                                                                                                      | Benodigde kennis/vaardigheden                                                   |
|------------------|---------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|
| 1                | Vrije worp, snelheid, parabool                                 | Bepaal de grootte van de snelheid waarmee de bal de hand van de speler verlaat.                                               | Analyse van \( x,t \)- en \( y,t \)-diagrammen; vectoranalyse van snelheid.          |
| 2                | Kracht, verplaatsing                                           | Bepaal de verplaatsing van de bal tijdens de worp. Bereken de gemiddelde kracht die op de bal werkt.                          | Formules voor kracht en versnelling toepassen.                                       |
| 3                | Basketbalmodel, simulaties                                     | Geef twee voorwaarden waardoor het model stopt. Toon aan hoe resultaat C aangeeft dat er wordt gescoord.                      | Analyse van simulatiegrafieken en modellering.                                       |
| 4                | Startwaarden van snelheid (vx, vy)                             | Bepaal voor resultaten A, B, D en E of de verschuiving een gevolg is van \( v_x \) of \( v_y \).                              | Begrip van het verband tussen snelheid en baanveranderingen.                        |
| 6                | Quantum-dots, lichtabsorptie                                   | Leg uit waarom violet licht is gekozen voor bestraling van quantum-dots.                                                     | Begrip van fotonenergie en absorptiespectra.                                         |
| 7                | Bandgap van halfgeleiders                                      | Geef aan of bepaalde halfgeleiders geschikt zijn voor een Qled-tv. Licht je antwoord toe.                                     | Toepassen van fotonenergie en bandgapbegrip.                                         |
| 8                | DeBroglie-golflengte, effectieve massa                         | Leid de formule voor de DeBroglie-golflengte af. Bereken \( \lambda_B \) van een elektron met kinetische energie 1 eV.         | Quantummechanica, formules voor golflengte en kinetische energie.                    |
| 9                | Quantum-dots, energieput                                       | Bereken de constante \( C \) in de fotonenergieformule. Leid eerst de formule af.                                             | Begrip van gequantiseerde energie in een energieput.                                 |
| 10               | Straal van quantum-dots, grafiekanalyse                        | Bepaal de straal van quantum-dots die groen licht uitzenden (534 nm) met behulp van de lineaire grafiek.                      | Grafiekanalyse en toepassing van energieformules.                                    |
| 11               | Verwarmingselement, elektrische weerstand                      | Bereken het opgenomen vermogen direct na inschakelen van het verwarmingselement.                                             | Formules voor elektrisch vermogen en weerstand.                                      |
